PlayerId,Position,Height,Weight,CollegeAwards,FG%,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,StartRatio,G,GS,MP,FG,FGA,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM,playerId,isAllStar
jordan-hill-1,Forward,208,106,3,0.578,0.593,0.578,0.0,0.405,,,,18.0,7.0,,4.0,15.7,24.4,0.8144329897,97.0,79.0,2623.0,7.5,13.0,7.5,13.0,0.578,0.0,0.0,,3.4,5.3,0.636,11.6,1.2,0.8,2.1,2.9,3.9,18.4,7.1,5.0,12.1,0.185,,,,,jordan-hill-1,0
shawnelle-scott-1,Center,208,113,2,0.537,0.545,0.537,0.003,0.401,,,,,,,,12.8,,,113.0,,2821.0,6.9,12.9,6.9,12.9,0.539,0.0,0.0,0.0,2.9,5.2,0.562,10.5,1.2,1.5,1.0,2.3,5.0,16.8,,,,,,,,,shawnelle-scott-1,0
roy-hamilton-1,Guard,188,81,3,,0.549,,,0.372,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roy-hamilton-1,0
derek-grimm-1,Forward,206,104,2,0.486,0.638,0.59,0.498,0.47000000000000003,,,,,,,,15.5,,0.0170940171,117.0,2.0,2618.0,5.0,10.3,2.9,5.2,0.553,2.1,5.1,0.418,3.9,4.8,0.8130000000000001,7.8,1.6,1.1,0.5,0.1,0.30000000000000004,16.1,5.3,1.5,6.8,0.10300000000000001,,,,,derek-grimm-1,0
chuck-nevitt-1,Center,226,98,0,,0.559,,,0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chuck-nevitt-1,0
dexter-cambridge-1,Forward,201,101,2,,0.578,0.546,0.158,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexter-cambridge-1,0
dennis-horner-1,Forward,206,102,2,0.468,0.581,0.536,0.38,0.398,401.0,7.2,12.9,8.7,10.7,2.2,2.4,13.6,19.1,0.359375,128.0,46.0,2602.0,4.5,9.7,3.2,6.0,0.535,1.3,3.7,0.358,3.0,3.9,0.781,5.8,1.8,1.1,1.0,1.8,3.4,13.4,5.2,2.4,7.6,0.117,,,,,dennis-horner-1,0
shabazz-napier-1,Guard,185,81,13,0.41100000000000003,0.562,0.501,0.47900000000000004,0.433,2047.0,2.7,11.6,7.3,29.2,3.4,0.7000000000000001,16.7,24.0,0.6853146853000001,143.0,98.0,4614.0,5.2,12.5,2.9,6.5,0.444,2.3,6.0,0.375,4.4,5.4,0.8130000000000001,5.0,5.6,2.2,0.30000000000000004,3.0,2.6,17.0,12.8,7.4,20.2,0.17500000000000002,21.6,6.6,2.5,9.1,shabazz-napier-1,0
kevin-mchale-1,Forward,208,95,0,,0.584,,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin-mchale-1,1
kevin-mchale-1,Forward,208,95,0,,0.584,,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin-mchale-1,0
